area;ciudad;conglomerado;panelm;vivienda;hogar;c01;c02;c03;c04a;c18;c19;c20a;c21a;upm;id_vivienda;id_hogar;estrato;fexp;periodo
1;10150;023404;029;08;1;2;2;2;2;3;3;3;3;010150023404;01015002340402908;010150023404029081;2712;471,223853251661;202201
1;10150;023404;029;10;1;1;2;1;2;3;3;3;3;010150023404;01015002340402910;010150023404029101;2712;471,223853251661;202201
1;10150;023601;002;01;1;2;2;2;1;3;3;3;3;010150023601;01015002360100201;010150023601002011;2711;43,8117379596441;202201
1;10150;023601;002;02;1;3;3;1;1;3;2;3;3;010150023601;01015002360100202;010150023601002021;2711;43,8117379596441;202201
1;10150;023601;002;04;1;2;3;1;2;3;3;3;3;010150023601;01015002360100204;010150023601002041;2711;43,8117379596441;202201
1;10150;023601;002;05;1;2;2;1;1;3;3;3;3;010150023601;01015002360100205;010150023601002051;2711;43,8117379596441;202201
1;10150;023601;002;06;1;2;2;1;1;2;2;2;2;010150023601;01015002360100206;010150023601002061;2711;43,8117379596441;202201
1;10150;023601;002;08;1;2;2;2;2;2;1;3;3;010150023601;01015002360100208;010150023601002081;2711;43,8117379596441;202201
1;10150;023601;002;09;1;2;2;2;2;3;3;3;3;010150023601;01015002360100209;010150023601002091;2711;43,8117379596441;202201
1;10150;024602;025;01;1;2;2;2;1;1;2;3;1;010150024602;01015002460202501;010150024602025011;2713;89,9313009543072;202201
1;10150;024602;025;02;1;2;1;1;1;3;3;3;3;010150024602;01015002460202502;010150024602025021;2713;89,9313009543072;202201
1;10150;024602;025;03;1;3;1;1;1;1;1;1;1;010150024602;01015002460202503;010150024602025031;2713;89,9313009543072;202201
1;10150;024602;025;04;1;1;3;2;3;3;3;3;3;010150024602;01015002460202504;010150024602025041;2713;89,9313009543072;202201
1;10150;024602;025;05;1;2;3;2;2;3;3;3;3;010150024602;01015002460202505;010150024602025051;2713;89,9313009543072;202201
1;10150;025102;029;02;1;3;3;3;3;3;2;2;2;010150025102;01015002510202902;010150025102029021;2711;85,6297902628902;202201
